# experiment XYZ
5 20200.283218
42 23234.880474
29 30006.374452
39 43069.885135
80 60346.104813
124 79382.408867
16 60578.208710
82 77914.996315
7 79419.299743
80 103797.090290
169 152477.732428
29 113517.429049
62 178802.993557
2 119348.796528
61 199043.157183
20 198918.134115
21 128226.018336
1 146671.007583
42 154030.297054
84 237801.755401
260 227783.165738
408 348415.284043
194 403011.374626
16 397083.617622
107 355471.706905
83 372922.133397
113 588996.517649
13 593275.159829
1 594614.687829
2 578594.839726
10 583475.219354
16 585923.823919
120 323893.707509
12 325371.192717
63 332356.178868
7 332593.901762
125 361739.212803
129 703936.711604
5 702667.909084
16 342464.394692
122 738917.721571
49 380111.792413
49 766209.131333
10 762883.873401
6 766231.020449
70 774754.838618
54 780501.631054
83 414623.599419
125 443258.323613
34 442334.204779
85 456429.925114
219 514119.824817
115 980604.432944
10 482811.524118
116 1016803.590036
87 514024.040620
41 525649.859604
25 534140.356616
47 525338.910739
54 1094434.125074
81 545517.616597
4 539768.204429
1 551626.190913
243 1190833.466609
12 1189550.914738
89 586277.168428
71 1236828.003044
20 1241074.306193
95 1270052.373191
64 622223.882060
89 1311759.835560
98 1336068.428288
29 652116.354484
22 1345134.395189
58 1369542.008991
